Name,Address,Phone,Email,Website,Entity Type,Scraped At,Source Type,Source Region
Embassy Lakes Master Association,"3522 Embassy Dr, Hollywood, FL 33026",Send to phone,,https://embassylakes.com/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Lauderdale West Community Association,"3522 Embassy Dr, Hollywood, FL 33026",Send to phone,,https://embassylakes.com/,hoa,2025-07-24T10:52:06.946Z,googleMaps,all
Lauderdale West Community Association,"3511 Hollywood Oaks Dr, Davie, FL 33312",Send to phone,,http://www.lauderdalewest.org/,hoa,2025-07-24T10:52:06.946Z,googleMaps,all
Lauderdale West Community Association,"10112 Usa Today Way, Miramar, FL 33025",Send to phone,,https://www.premierassociationservices.com/,hoa,2025-07-24T10:52:06.946Z,googleMaps,all
Lauderdale West Community Association,"980 Harbor Island Dr, Hollywood, FL 33019",Send to phone,,http://harborislandspoa.com/,hoa,2025-07-24T10:52:06.946Z,googleMaps,all
Country Walk Homeowner Association,"14601 Country Walk Dr, Miami, FL 33186",Send to phone,,http://www.countrywalkhoa.org/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Country Walk Homeowner Association,"15381 SW 36th St, Miami, FL 33185",Send to phone,,https://www.caribelakeshoa.com/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Country Walk Homeowner Association,"10105 SW 77th Ct, Miami, FL 33156",Send to phone,,http://dadelandcovehoa.com/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Country Walk Homeowner Association,"8100 SW 132nd Ave, Miami, FL 33183",Send to phone,,https://winstonparkmiami.mycommunitysite.app/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Country Walk Homeowner Association,"12300 SW 125th Ct, Miami, FL 33186",Send to phone,,http://www.countrywalkhoa.org/,unknown,2025-07-24T10:52:06.946Z,googleMaps,all
Latitude Key - Curated Vacation Properties,"3324 NE 32nd St, Fort Lauderdale, FL 33308",Send to phone,,http://www.latitudekey.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Latitude Key - Curated Vacation Properties,"11386 W State Rd 84, Davie, FL 33325",Send to phone,,https://www.floridahomesbyxtreme.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Latitude Key - Curated Vacation Properties,"500 NE 13th St, Fort Lauderdale, FL 33304",Send to phone,,http://www.mayfairpropertymanagement.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Estaga | Short Term Rental Property Management Company,"611 Lexington Ave Suite 107, Davie, FL 33325",Send to phone,,https://floridapropertyrealty.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Latitude Key - Curated Vacation Properties,"15800 Pines Blvd Suite 336, Pembroke Pines, FL 33027",Send to phone,,https://www.rpmpremierfl.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Royalty Concierge Services Corp - Miami Property Management,"790 NW 107th Ave Suite 107, Miami, FL 33172",Send to phone,,http://www.royaltyconcierge.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Royalty Concierge Services Corp - Miami Property Management,"9588 Harding Ave, Surfside, FL 33154",Send to phone,,https://joellerealtor.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Alexandria Realty Group,"12985 SW 130th Ct Ste 102-1, Miami, FL 33186",Send to phone,,https://www.rpmdade.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Royalty Concierge Services Corp - Miami Property Management,"2125 Biscayne Blvd STE #248, Miami, FL 33137",Send to phone,,https://www.pristinepm.com/?tcid=GMB,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
Royalty Concierge Services Corp - Miami Property Management,"121 Alhambra Plaza # 1000, Coral Gables, FL 33134",Send to phone,,http://www.miami-dadepropertymanagement.com/,propertyManagement,2025-07-24T10:53:35.294Z,googleMaps,all
